FIPS,name,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC15,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC18,HC01_EST_VC19,HC01_EST_VC20,HC01_EST_VC21,HC01_MOE_VC04,HC01_MOE_VC05,HC01_MOE_VC10,HC01_MOE_VC11,HC01_MOE_VC12,HC01_MOE_VC13,HC01_MOE_VC14,HC01_MOE_VC15,HC01_MOE_VC16,HC01_MOE_VC17,HC01_MOE_VC18,HC01_MOE_VC19,HC01_MOE_VC20,HC01_MOE_VC21
19,"CD101, Manhattan",266,43,142,72,5513,84,60,42,27,5,2,39,107,6402,4.2,0.7,2.2,1.1,86.1,1.3,0.9,0.7,0.4,0.1,0.0,0.6,1.7,
29,"CD102, Manhattan",1022,48,872,376,477,1482,466,682,56,84,12,130,329,6036,16.9,0.8,14.4,6.2,7.9,24.6,7.7,11.3,0.9,1.4,0.2,2.2,5.5,
30,"CD103, Manhattan",719,136,493,236,155,296,1686,199,48,57,15,57,313,4410,16.3,3.1,11.2,5.4,3.5,6.7,38.2,4.5,1.1,1.3,0.3,1.3,7.1,
21,"CD104, Manhattan",1289,129,382,231,645,298,158,121,27,14,16,163,314,3787,34.0,3.4,10.1,6.1,17.0,7.9,4.2,3.2,0.7,0.4,0.4,4.3,8.3,
13,"CD105, Manhattan",556,88,279,163,1894,756,66,442,17,3,3,68,655,4990,11.1,1.8,5.6,3.3,38.0,15.2,1.3,8.9,0.3,0.1,0.1,1.4,13.1,
31,"CD106, Manhattan",595,51,225,274,168,145,169,113,20,5,7,66,188,2026,29.4,2.5,11.1,13.5,8.3,7.2,8.3,5.6,1.0,0.2,0.3,3.3,9.3,
20,"CD107, Manhattan",711,148,245,330,449,147,84,181,76,68,31,243,331,3044,23.4,4.9,8.0,10.8,14.8,4.8,2.8,5.9,2.5,2.2,1.0,8.0,10.9,
42,"CD108, Manhattan",641,88,220,320,839,127,105,105,79,75,37,124,195,2955,21.7,3.0,7.4,10.8,28.4,4.3,3.6,3.6,2.7,2.5,1.3,4.2,6.6,
60,"CD109, Manhattan",606,179,174,61,654,48,98,54,30,17,33,73,86,2113,28.7,8.5,8.2,2.9,31.0,2.3,4.6,2.6,1.4,0.8,1.6,3.5,4.1,
70,"CD110, Manhattan",1382,317,407,312,163,121,73,134,61,220,30,96,179,3495,39.5,9.1,11.6,8.9,4.7,3.5,2.1,3.8,1.7,6.3,0.9,2.7,5.1,
48,"CD111, Manhattan",847,207,211,96,66,80,77,98,35,60,20,63,81,1941,43.6,10.7,10.9,4.9,3.4,4.1,4.0,5.0,1.8,3.1,1.0,3.2,4.2,
71,"CD112, Manhattan",878,745,330,116,217,181,107,95,59,114,49,143,140,3174,27.7,23.5,10.4,3.7,6.8,5.7,3.4,3.0,1.9,3.6,1.5,4.5,4.4,
18,"CD164, Manhattan",5,1,1,0,54,1,0,1,1,0,2,1,0,67,7.5,1.5,1.5,0.0,80.6,1.5,0.0,1.5,1.5,0.0,3.0,1.5,0.0,
41,"CD201, Bronx",728,280,380,123,145,85,135,54,47,120,23,49,76,2245,32.4,12.5,16.9,5.5,6.5,3.8,6.0,2.4,2.1,5.3,1.0,2.2,3.4,
44,"CD202, Bronx",304,258,277,66,45,49,46,34,26,62,11,15,35,1228,24.8,21.0,22.6,5.4,3.7,4.0,3.7,2.8,2.1,5.0,0.9,1.2,2.9,
